name,team,image,battingStyle,bowlingStyle,playingRole,description
Najmul Hossain Shanto,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323155.png",left hand Bat,Right arm Offbreak,Top order Batter,"Although he made his debut in 2017, and scored two Test hundreds in 2021, it took Najmul Hossain Shanto more than five years to truly establish himself in the Bangladesh side. But once he did, he was rewarded by being appointed Bangladesh's captain in all three formats."
Jaker Ali,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/349300/349343.png",Right hand Bat,,Wicketkeeper Batter,
Mahmudullah,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382810.png",Right hand Bat,Right arm Offbreak,Allrounder,"Mahmudullah grew into one of the five pillars of Bangladesh cricket in the post-2010 period of growth and relative success. A middle-order batter who bowls useful offspin, he is also one of Bangladesh's best fielders of all time. Mahmudullah's numbers put him in the modern group of allrounders who have aggregated 10,000 runs, 100 wickets and 100 catches in international cricket across formats."
Taskin Ahmed,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316700/316703.png",Left hand Bat,Right arm Fast,Bowler,"Even before he was anywhere near making his international debut, Taskin Ahmed became an internet sensation. A video of his spell against England Under-19s in 2012 found its way to Youtube, and the sight of a Bangladeshi fast bowler ripping it past batsman and hitting the wicketkeeper's gloves quite hard and high made people curious."
Towhid Hridoy,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380200/380236.png",Right hand Bat,Right arm offbreak,Top order Batter,"Towhid Hridoy could be the next big batting mainstay for Bangladesh. His 918 runs across formats in 2023, his first year in international cricket, gave the team management a strong option, especially amid a long overall batting struggle from the rest of the line-up in the same period."
Mustafizur Rahman,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png",Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. "
Shakib Al Hasan,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316581.png",Left hand Bat,Slow Left arm Orthodox,Allrounder,"When the annals of Bangladesh cricket are sifted by future generations, Shakib Al Hasan will emerge and re-emerge as the greatest cricketer of its first two decades. As a bowler, Shakib is accurate, consistent and canny; aggression and a wide range of strokes are the keys to his batting. Even more importantly, he has self-belief and an excellent temperament, unflustered by the big occasion and ready to do battle against the top teams."
Tanzim Hasan Sakib,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382811.png",Right hand Bat,Right arm Fast medium,Bowler,"Tanzim Hasan Sakib was Bangladesh's best-performing fast bowler in the T20 World Cup in 2024. He took 11 wickets at an average of 13.54, with a career-best bowling performance of 4 for 7 against Nepal. Tanzim bowled with pace, extracting seam or swing offered by conditions and the mostly favourable pitches in the USA and the West Indies. He was so good at the World Cup that the Bangladesh team management couldn't use Shoriful Islam for even one match after Tanzim had replaced the in-form left-arm quick at the start of the tournament."
Mahedi Hasan Miraz,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380200/380237.png",Right hand Bat,Right arm Offbreak,Allrounder,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October."
Jos Buttler,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316642.png",Right hand Bat,,Wicketkeeper Batter,"England have had many players down the ages who have gained world acclaim, but Jos Buttler is arguably their first global Twenty20 superstar. Buttler helped bring England's limited-overs batting into the 21st century, his impact on the one-day and T20 sides extraordinary as they turned a group-stage exit in the 2015 World Cup into a triumph on home soil four years later, with his efforts with the bat and the gloves crucial to their Super-Over victory in the final. In an 18-month period from mid-2014, he scored what at the time were England's three fastest one-day hundreds - thrilling innings against Sri Lanka at Lord's, New Zealand at Edgbaston and, topping the list, a 46-ball onslaught against Pakistan in Dubai. He has also shone at the IPL, and has quickly become a senior player in the Test side since his surprise recall in 2018."
Reece Topley,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383150.png",Right hand Bat,Left arm Fast medium,Bowler,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again."
Jonny Bairstow,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383157.png",Right hand Bat,Right arm Medium,Wicketkeeper Batter,"Jonny Bairstow, the son of the former England wicketkeeper David Bairstow, is a combative wicketkeeper-batter who has become a cricketer to be reckoned with in England's middle order. The journey was far from easy for Bairstow, especially with Jos Buttler in contention for the gloves, but prolific run-making for Yorkshire eventually made a case that England's selectors could not ignore. Galvanised by his selection, runs flowed."
Will Jacks,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383155.png",Right hand Bat,Right arm Offbreak,Batting Allrounder,"It was a quirk of circumstance that Will Jacks' first standout performance as an England player was a six-wicket haul in a Test match rather than a characteristically dominant white-ball innings. Jacks became the first England debutant spinner since 1993 to claim a five-for on Test debut in 2022, setting up a famous win in Rawalpindi. Not only was it his maiden first-class five-for, he was not even meant to be in the side: he was a late change to the side before the toss with Ben Foakes ruled out through illness."
Harry Brook,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383145.png",Right hand Bat,Right arm Medium,Batter,"A former England U19s captain, Harry Brook announced himself as a player with a bright future with a remarkable T20 Blast season in 2020, averaging 55 and striking at 163 in the group stages despite batting in the middle order."
Moeen Ali,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383142.png",Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
Liam Livingstone,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383152.png",Right hand Bat,Legbreak,Batting Allrounder,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the ""belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka, and England took an early look at him with two T20 appearances against South Africa before deciding that he needed more time to craft his game at county level. That double-hundred suggested his research was coming along just fine."
Jofra Archer,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383146.png",Right hand Bat,Right arm Fast,Bowler,"Jofra Archer has rapidly become one of the most exciting young fast bowlers in English cricket. Born in Barbados to an English father and Bajan mother, the possibility of his inclusion in England's 2019 World Cup squad became subject of much speculation in the run-up to the tournament. Changes to the ECB's qualification rules led to him becoming eligible after three years of residency - rather than the expected seven - and he was quickly given his chance at international level."
Mark Wood,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383149.png",Right hand Bat,Right arm Fast,Bowler,"It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered."
Sam Curran,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323113.png",Left hand Bat,Left arm Medium fast,Allrounder,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. "
Adil Rashid,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383151.png",Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
Chris Jordan,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383144.png",Right hand Bat,Right arm Fast medium,Bowler,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. "
Phil Salt,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383141.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
Jasprit Bumrah,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319940.png",Right hand Bat,Right arm Fast,Bowler,"Jasprit Bumrah grabbed eyeballs first with his unorthodox action, and then his bowling skills. Armed with an anomalous, sling-arm action and natural pace, the peculiar release point of Bumrah's deliveries makes it hard for batsmen to pick him."
Rohit Sharma,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385819.png",Right hand Bat,Right arm Offbreak,Top order Batter,"Languid and easy on the eye, Rohit Sharma owned all the shots in the book when he emerged from the Mumbai suburbs as heir apparent to the Indian batting greats of the 2000s. It took him time and persistence, but by the 2010s he had become a colossus in white-ball cricket, and the man in charge of perhaps the most formidable league team in the first age of T20."
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",Right hand Bat,Right arm Medium,Top order Batter,"India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them."
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. he also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140."
Axar Patel,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331164.png",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"Left-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58."
Hardik Pandya,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319938.png",Right hand Bat,Right arm Medium fast,Allrounder,"Hardik Pandya swears by living life king size and that exuberance finds expression in his powerful hitting in the middle order and brisk seam bowling. He first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in IPL 2015, but displayed greater consistency in the Syed Mushtaq Ali domestic T20 tournament in January 2016. He finished as the leading run-getter, for Baroda, with 377 runs in 10 innings at an average of 53.85. "
Ravindra Jadeja,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316600.png",Left hand Bat,Slow Left arm Orthodox,Allrounder,"Dissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling.
In October 2019 he became the quickest left-arm bowler to reach 200 Test wickets. Six years before that, he had became the first Indian since Anil Kumble in 1993 to top the ICC ODI bowling rankings. In the IPL, he drew a scarcely believable bid of US$2 million in 2012."
